City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atuona,-9.8,-139.03,77.52,77,40,22.37,PF,1600357383
Punta Arenas,-53.15,-70.92,41.0,73,40,38.03,CL,1600357183
Klaksvík,62.23,-6.59,53.6,100,90,6.93,FO,1600357385
Ushuaia,-54.8,-68.3,35.6,64,75,38.03,AR,1600357261
Lorengau,-2.02,147.27,81.23,81,95,9.71,PG,1600357386
Umluj,25.02,37.27,89.47,55,0,8.39,SA,1600357386
New Norfolk,-42.78,147.06,36.0,68,0,2.75,AU,1600357386
Vaini,-21.2,-175.2,71.6,78,75,11.41,TO,1600357141
Yumen,40.28,97.2,58.21,29,0,9.04,CN,1600357387
Nikolskoye,59.7,30.79,48.99,81,75,8.95,RU,1600357387
Hilo,19.73,-155.09,71.6,78,1,3.36,US,1600357170
San Isidro,-12.12,-77.05,62.6,77,90,4.7,PE,1600357388
Noumea,-22.28,166.46,64.4,88,21,2.24,NC,1600357374
Hermanus,-34.42,19.23,62.01,64,2,1.01,ZA,1600357092
Wattegama,6.8,81.48,80.6,94,20,10.29,LK,1600357391
Piskavica,44.87,16.97,80.6,51,100,8.05,BA,1600357391
Cabo San Lucas,22.89,-109.91,86.0,69,20,3.56,MX,1600357159
Severo-Kuril'sk,50.68,156.12,54.88,89,100,8.7,RU,1600357254
Hobart,-42.88,147.33,39.2,80,0,8.05,AU,1600357371
Bredasdorp,-34.53,20.04,62.6,59,0,8.05,ZA,1600357392
Ostrovnoy,68.05,39.51,41.13,81,0,2.35,RU,1600357392
Barrow,71.29,-156.79,41.0,93,90,9.17,US,1600357285
Petropavlovsk-Kamchatskiy,53.05,158.65,44.6,100,100,2.24,RU,1600357393
Ponta Delgada,37.73,-25.67,73.4,46,20,11.41,PT,1600357393
Busselton,-33.65,115.33,48.99,55,23,13.13,AU,1600357393
Egvekinot,66.32,-179.17,35.96,89,100,14.14,RU,1600357394
